VSync enabled
1 Time diff: 19886, Avg = 19886
1 KTime diff: 20003, Avg = 20003
2 Time diff: 19966, Avg = 19926
2 KTime diff: 19995, Avg = 19999
3 Time diff: 20005, Avg = 19952
3 KTime diff: 19999, Avg = 19999
4 Time diff: 19990, Avg = 19961
4 KTime diff: 19997, Avg = 19998
5 Time diff: 19997, Avg = 19968
5 KTime diff: 19998, Avg = 19998
6 Time diff: 19999, Avg = 19973
6 KTime diff: 19999, Avg = 19998
7 Time diff: 20011, Avg = 19979
7 KTime diff: 19998, Avg = 19998
8 Time diff: 19993, Avg = 19980
8 KTime diff: 19998, Avg = 19998
9 Time diff: 19984, Avg = 19981
9 KTime diff: 19998, Avg = 19998
10 Time diff: 26319, Avg = 20615<------ Not in time!
10 KTime diff: 19998, Avg = 19998
11 Time diff: 13676, Avg = 19984<------ Not in time!
11 KTime diff: 19999, Avg = 19998
12 Time diff: 19999, Avg = 19985
12 KTime diff: 19997, Avg = 19998
13 Time diff: 19999, Avg = 19986
13 KTime diff: 19998, Avg = 19998
14 Time diff: 20007, Avg = 19987
14 KTime diff: 19998, Avg = 19998
15 Time diff: 19988, Avg = 19987
15 KTime diff: 19998, Avg = 19998
16 Time diff: 19999, Avg = 19988
16 KTime diff: 19998, Avg = 19998
17 Time diff: 19997, Avg = 19989
17 KTime diff: 19999, Avg = 19998
18 Time diff: 19999, Avg = 19989
18 KTime diff: 19997, Avg = 19998
19 Time diff: 19997, Avg = 19990
19 KTime diff: 19998, Avg = 19998
20 Time diff: 19999, Avg = 19990
20 KTime diff: 19999, Avg = 19998
21 Time diff: 20036, Avg = 19992
21 KTime diff: 19997, Avg = 19998
22 Time diff: 19986, Avg = 19992
22 KTime diff: 19998, Avg = 19998
23 Time diff: 20000, Avg = 19992
23 KTime diff: 19998, Avg = 19998
24 Time diff: 19997, Avg = 19992
24 KTime diff: 19998, Avg = 19998
25 Time diff: 10278, Avg = 19604<------ Not in time!
25 KTime diff: 20001, Avg = 19998
26 Time diff: 29713, Avg = 19993<------ Not in time!
26 KTime diff: 19996, Avg = 19998
27 Time diff: 19991, Avg = 19993
27 KTime diff: 19998, Avg = 19998
28 Time diff: 19998, Avg = 19993
